workload,level,delta_width,entries,tag_bits,storage_bytes,overflow_pct,coverage,accuracy,pollution,issued,stride_coverage
mcf,L2,16,1024,6,3200,78.3218,0.0446,78.7072,21.2928,1052,52.2177
mcf,L2,16,16384,2,43008,78.3218,0.0522,73.8663,26.1337,1301,52.2177
mcf,L2,48,1024,16,8576,0.0,0.0001,33.3333,66.6667,3,52.2177
mcf,L2,48,16384,16,137216,0.0,0.5214,99.0302,0.9698,10311,52.2177
mcf,L2,48,65536,16,548864,0.0,17.6282,99.9177,0.0823,346347,52.2177
mcf,L2,48,262144,16,2195456,0.0,47.7109,99.9487,0.0513,937172,52.2177
mcf,L2,48,524288,16,4390912,0.0,57.3016,99.9504,0.0496,1125547,52.2177
mcf,L2,48,2097152,16,17563648,0.0,66.283,99.9527,0.0473,1301942,52.2177
