workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
lbm,ngram-l2-lat64-degree1-depth2-slots4,ngram,L2,64,2,1,4,524288,48,20000000,3239998,2160839,2062763,63.6656,4.5388,2.0807,3739571,1633866,2105705,43813,2061723,97.9113,0.008,0,156.2
lbm,ngram-l2-lat64-degree2-depth1-slots1,ngram,L2,64,1,2,1,524288,48,20000000,3239998,2160839,2023080,62.4408,6.3753,8.3539,3152237,1924395,1227842,102573,1075288,87.5754,4.0611,0,128.5
lbm,ngram-l2-lat64-degree2-depth1-slots2,ngram,L2,64,1,2,2,524288,48,20000000,3239998,2160839,2574770,79.4683,-19.156,7.5873,7262845,3524488,3738357,283641,2094578,56.0294,36.3487,0,217.9
lbm,ngram-l2-lat64-degree2-depth1-slots4,ngram,L2,64,1,2,4,524288,48,20000000,3239998,2160839,2592311,80.0096,-19.9678,9.419,8148600,3966786,4181814,393884,2275543,54.4152,36.1324,0,181.8
lbm,ngram-l2-lat64-degree2-depth2-slots1,ngram,L2,64,2,2,1,524288,48,20000000,3239998,2160839,2033410,62.7596,5.8972,5.38,6138451,4140096,1998355,107512,1890747,94.6152,0.0048,0,154.9
lbm,ngram-l2-lat64-degree2-depth2-slots2,ngram,L2,64,2,2,2,524288,48,20000000,3239998,2160839,1964551,60.6343,9.0839,6.7441,6922750,4816864,2105886,142024,1963675,93.247,0.0088,0,191.0
lbm,ngram-l2-lat64-degree2-depth2-slots4,ngram,L2,64,2,2,4,524288,48,20000000,3239998,2160839,1964540,60.634,9.0844,6.7446,6813981,4708085,2105896,142034,1963674,93.2465,0.0089,0,164.4
lbm,ngram-l2-lat64-degree4-depth1-slots1,ngram,L2,64,1,4,1,524288,48,20000000,3239998,2160839,1977197,61.0246,8.4986,11.8635,4220748,2983697,1237051,146757,1039935,84.0657,4.0613,0,166.9
lbm,ngram-l2-lat64-degree4-depth1-slots2,ngram,L2,64,1,4,2,524288,48,20000000,3239998,2160839,2806423,86.618,-29.8765,6.7658,13685424,7824811,5860613,396518,2348285,40.0689,53.1305,0,270.9
lbm,ngram-l2-lat64-degree4-depth1-slots4,ngram,L2,64,1,4,4,524288,48,20000000,3239998,2160839,2666269,82.2923,-23.3905,9.1335,14626285,8832160,5794125,529207,2315558,39.9639,50.8694,0,247.7
lbm,ngram-l2-lat64-degree4-depth2-slots1,ngram,L2,64,2,4,1,524288,48,20000000,3239998,2160839,1944431,60.0133,10.015,9.7402,11826556,9807901,2018655,196621,1801963,89.2655,0.9922,0,236.2
lbm,ngram-l2-lat64-degree4-depth2-slots2,ngram,L2,64,2,4,2,524288,48,20000000,3239998,2160839,1877257,57.9401,13.1237,10.631,13310297,11149340,2160957,229731,1876516,86.8373,2.5285,0,213.3
lbm,ngram-l2-lat64-degree4-depth2-slots4,ngram,L2,64,2,4,4,524288,48,20000000,3239998,2160839,1872897,57.8055,13.3255,10.8201,13201686,11041196,2160490,233767,1872110,86.6521,2.5245,0,230.0
lbm,ngram-l2-lat64-degree8-depth1-slots1,ngram,L2,64,1,8,1,524288,48,20000000,3239998,2160839,1948519,60.1395,9.8258,14.1454,4725415,3485080,1240335,175450,1014198,81.7681,4.077,0,169.7
lbm,ngram-l2-lat64-degree8-depth1-slots2,ngram,L2,64,1,8,2,524288,48,20000000,3239998,2160839,2800941,86.4488,-29.6228,4.7533,26638111,17402653,9235458,438992,2340775,25.3455,69.8709,0,414.7
