workload,level,delta_width,entries,tag_bits,storage_bytes,overflow_pct,coverage,accuracy,pollution,issued,stride_coverage
omnetpp,L2,16,1024,6,3200,59.7216,0.9108,77.8467,22.109,6771,4.5464
omnetpp,L2,16,16384,2,43008,59.7216,2.4829,74.318,25.6207,19574,4.5464
omnetpp,L2,48,1024,16,8576,0.0,0.2932,82.4544,17.5456,2029,4.5464
omnetpp,L2,48,16384,16,137216,0.0,1.197,84.5991,15.376,8006,4.5464
omnetpp,L2,48,65536,16,548864,0.0,1.7524,83.6839,16.2824,11884,4.5464
omnetpp,L2,48,262144,16,2195456,0.0,2.2566,83.0592,16.902,15442,4.5464
omnetpp,L2,48,524288,16,4390912,0.0,2.4333,83.0074,16.9566,16672,4.5464
omnetpp,L2,48,2097152,16,17563648,0.0,2.628,82.8877,17.0734,18028,4.5464
