workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
omnetpp,ngram-l2-lat64-degree4-depth2-slots1,ngram,L2,64,2,4,1,524288,48,20000000,766334,548437,547033,71.3831,0.256,8.9845,55602,22801,32801,2947,20943,63.8487,27.0937,0,55.4
omnetpp,none-l2-lat0,none,L2,0,,,,,,20000000,766334,548437,548437,71.5663,0.0,0.0,0,0,0,0,0,0.0,0.0,,55.5
omnetpp,stride-l2-lat0-degree1,stride,L2,0,,1,,,,20000000,766334,548437,523503,68.3126,4.5464,65.0686,48635,6355,42280,27511,0,0.0,34.7871,,52.6
omnetpp,stride-l2-lat0-degree4,stride,L2,0,,4,,,,20000000,766334,548437,524127,68.3941,4.4326,35.5247,194512,98317,96195,34173,0,0.0,64.2424,,39.2
omnetpp,stride-l2-lat16-degree1,stride,L2,16,,1,,,,20000000,766334,548437,523540,68.3175,4.5396,64.9811,48635,6355,42280,27474,37,0.0875,34.7871,,60.8
omnetpp,stride-l2-lat16-degree4,stride,L2,16,,4,,,,20000000,766334,548437,524158,68.3981,4.4269,35.4914,194512,98317,96195,34141,32,0.0333,64.2424,,48.6
omnetpp,stride-l2-lat256-degree1,stride,L2,256,,1,,,,20000000,766334,548437,523553,68.3192,4.5373,64.9502,48635,6358,42277,27459,52,0.123,34.7825,,46.7
omnetpp,stride-l2-lat256-degree4,stride,L2,256,,4,,,,20000000,766334,548437,524196,68.4031,4.42,35.4452,194512,98324,96188,34094,81,0.0842,64.2377,,50.8
omnetpp,stride-l2-lat4-degree1,stride,L2,4,,1,,,,20000000,766334,548437,523509,68.3134,4.5453,65.0544,48635,6355,42280,27505,6,0.0142,34.7871,,59.0
omnetpp,stride-l2-lat4-degree4,stride,L2,4,,4,,,,20000000,766334,548437,524134,68.395,4.4313,35.5174,194512,98317,96195,34166,7,0.0073,64.2424,,46.1
omnetpp,stride-l2-lat64-degree1,stride,L2,64,,1,,,,20000000,766334,548437,523550,68.3188,4.5378,64.9574,48635,6355,42280,27464,47,0.1112,34.7871,,52.3
omnetpp,stride-l2-lat64-degree4,stride,L2,64,,4,,,,20000000,766334,548437,524193,68.4027,4.4206,35.4513,194512,98318,96194,34102,72,0.0748,64.241,,48.5
gcc,ngram-l2-lat0-degree1-depth2-slots1,ngram,L2,0,2,1,1,524288,48,20000000,1448681,948321,608281,41.9886,35.8571,99.8931,355203,14799,340404,340040,0,0.0,0.1066,0,60.9
gcc,ngram-l2-lat0-degree4-depth2-slots1,ngram,L2,0,2,4,1,524288,48,20000000,1448681,948321,386720,26.6946,59.2206,99.8817,1397010,834744,562266,561601,0,0.0,0.1179,0,68.7
gcc,ngram-l2-lat16-degree1-depth2-slots1,ngram,L2,16,2,1,1,524288,48,20000000,1448681,948321,837616,57.8192,11.6738,32.5217,355203,14799,340404,110705,229335,67.3714,0.1066,0,60.7
